label,rdkit_version,mol_idx,smiles,conf_idx,conf_id,MMFF_energy,MMFF_max_force,UFF_energy,UFF_max_force
baseline,2026.03.2,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,0,0,197.6429,169.1835,52.5897,90.8375
baseline,2026.03.2,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,1,1,168.3668,177.5135,30.3738,108.1620
baseline,2026.03.2,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,2,2,187.3462,164.2028,47.1507,82.8791
baseline,2026.03.2,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,3,3,190.5866,179.7359,45.7075,120.7011
baseline,2026.03.2,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,4,4,230.5174,251.8454,106.5026,241.2859
baseline,2026.03.2,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,0,0,55.6049,153.4639,61.4516,111.9328
baseline,2026.03.2,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,1,1,54.1407,123.6103,49.2731,81.9896
baseline,2026.03.2,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,2,2,46.5488,126.7928,34.8821,67.0212
baseline,2026.03.2,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,3,3,47.9393,151.6903,49.7199,102.4354
baseline,2026.03.2,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,4,4,46.1372,125.6740,54.1499,151.1345
baseline,2026.03.2,2,CC([N+])C(NC(C)C(N1C(C=O)CCC1)=O)=O,0,0,85.9396,115.2482,56.2321,112.8693
baseline,2026.03.2,2,CC([N+])C(NC(C)C(N1C(C=O)CCC1)=O)=O,1,1,66.0676,104.4194,37.8234,80.2017
baseline,2026.03.2,2,CC([N+])C(NC(C)C(N1C(C=O)CCC1)=O)=O,2,2,101.1549,111.9012,114.0236,187.8257
baseline,2026.03.2,2,CC([N+])C(NC(C)C(N1C(C=O)CCC1)=O)=O,3,3,105.1776,132.3266,106.1860,168.9253
baseline,2026.03.2,3,CC(NC1C(O)C=C(C([O-])=O)OC1C(O)C(O)CO)=O,0,0,94.9679,172.2847,55.4669,73.1500
baseline,2026.03.2,3,CC(NC1C(O)C=C(C([O-])=O)OC1C(O)C(O)CO)=O,1,1,104.1044,157.0394,77.0400,116.4807
baseline,2026.03.2,3,CC(NC1C(O)C=C(C([O-])=O)OC1C(O)C(O)CO)=O,2,2,105.8201,165.4660,56.9337,79.7885
baseline,2026.03.2,3,CC(NC1C(O)C=C(C([O-])=O)OC1C(O)C(O)CO)=O,3,3,95.4644,178.3860,39.0009,52.4509
baseline,2026.03.2,3,CC(NC1C(O)C=C(C([O-])=O)OC1C(O)C(O)CO)=O,4,4,93.3105,180.1731,39.1078,71.9222
baseline,2026.03.2,3,CC(NC1C(O)C=C(C([O-])=O)OC1C(O)C(O)CO)=O,5,5,90.4694,183.9008,47.2451,107.3947
baseline,2026.03.2,4,CCCC=C(NC(C1CC1(C)C)=O)C([O-])=O,0,0,102.5524,198.6464,350.7847,188.2487
baseline,2026.03.2,4,CCCC=C(NC(C1CC1(C)C)=O)C([O-])=O,1,1,76.3503,141.5321,302.5773,70.4662
baseline,2026.03.2,4,CCCC=C(NC(C1CC1(C)C)=O)C([O-])=O,2,2,82.0477,158.1343,310.1047,103.9615
baseline,2026.03.2,4,CCCC=C(NC(C1CC1(C)C)=O)C([O-])=O,3,3,87.4155,188.8227,309.8615,86.7657
baseline,2026.03.2,4,CCCC=C(NC(C1CC1(C)C)=O)C([O-])=O,4,4,81.9918,173.5285,311.9344,80.1448
baseline,2026.03.2,4,CCCC=C(NC(C1CC1(C)C)=O)C([O-])=O,5,5,83.1042,167.1251,300.2844,57.2834
baseline,2026.03.2,4,CCCC=C(NC(C1CC1(C)C)=O)C([O-])=O,6,6,75.2814,142.2574,295.2452,65.4503
baseline,2026.03.2,4,CCCC=C(NC(C1CC1(C)C)=O)C([O-])=O,7,7,99.3947,214.6238,325.7674,158.5975
baseline,2026.03.2,5,OCC(O)C(O)C(Cn1c2c(cc(C)c(C)c2)nc-2c(=O)[nH]c(=O)nc12)O,0,0,89.4470,152.1996,98.3221,151.2624
baseline,2026.03.2,5,OCC(O)C(O)C(Cn1c2c(cc(C)c(C)c2)nc-2c(=O)[nH]c(=O)nc12)O,1,1,84.2607,159.2770,81.4955,157.9609
baseline,2026.03.2,5,OCC(O)C(O)C(Cn1c2c(cc(C)c(C)c2)nc-2c(=O)[nH]c(=O)nc12)O,2,2,81.5495,170.1831,86.3070,220.6883
