label,mol_idx,smiles,conf_idx,MMFF_energy,MMFF_max_force,UFF_energy,UFF_max_force
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,0,167.2631,144.0641,24.9636,40.0653
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,1,183.5097,174.4762,43.3159,86.1082
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,2,171.8067,144.1097,31.9554,64.0913
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,3,197.2782,145.4882,40.7026,93.8470
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,4,175.6073,145.4703,40.2202,128.6974
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,5,196.4546,197.3635,66.5217,146.2593
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,6,181.6089,167.0448,29.0239,66.3221
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,7,219.8534,269.6270,108.0381,285.9887
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,8,204.5221,158.7745,76.8967,134.7421
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,9,204.4316,145.0931,121.4780,342.3734
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,10,182.0351,153.6462,46.2682,123.3032
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,11,175.0339,179.2906,32.2643,91.8402
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,12,173.8069,157.2912,45.2406,108.1778
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,13,183.1307,168.6451,43.6370,98.7905
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,14,174.3389,141.9861,39.4524,81.0917
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,15,198.5484,174.1655,71.5371,145.0079
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,16,182.0632,139.2354,36.0484,65.0635
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,17,194.2151,151.9554,64.4258,172.4500
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,18,178.0565,148.9673,32.6097,57.0868
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,19,190.8962,172.8653,41.7680,88.8451
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,20,183.0504,144.0582,31.4312,53.9794
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,21,186.0677,188.3590,64.8465,109.8209
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,22,172.4550,131.9698,26.5616,68.4290
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,23,185.9753,171.0754,31.0697,91.1021
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,24,179.5758,149.3122,35.4988,51.3249
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,25,187.5766,173.8149,46.0453,108.1132
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,26,188.4630,143.4576,34.9437,48.1135
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,27,172.2819,152.9705,33.9152,61.2544
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,28,183.2421,144.4595,34.3906,54.3863
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,29,181.0794,172.1500,47.0776,123.6248
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,30,179.8011,164.6717,37.9079,92.4435
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,31,199.5328,195.0899,61.0657,140.9238
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,32,209.8196,171.2577,58.1948,136.9798
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,33,176.9032,137.6797,43.4734,79.7493
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,34,172.8410,135.0659,33.9575,84.9542
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,35,199.5917,196.9501,88.5197,227.7389
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,36,176.7870,170.0113,42.0126,149.6478
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,37,194.2758,174.8658,54.7037,190.6533
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,38,184.8104,162.7830,48.8160,134.4048
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,39,190.3393,176.3397,52.7790,89.8761
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,40,231.1106,189.7411,93.9792,201.9821
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,41,196.9011,163.8314,52.6864,69.7861
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,42,185.4551,120.8854,39.8615,64.8734
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,43,179.6142,156.8086,40.5139,59.8221
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,44,190.4949,199.6126,85.2828,252.1001
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,45,176.7450,142.4325,36.7872,57.2398
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,46,174.3285,162.1734,34.4574,91.3683
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,47,197.3344,173.3889,59.3417,92.6239
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,48,172.7182,172.2039,32.8221,68.6649
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,49,188.4748,180.9013,67.4820,103.5266
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,50,180.9157,164.2695,37.6660,85.1371
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,51,191.8379,160.8335,38.9649,76.4555
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,52,199.4315,193.5167,51.7191,141.9317
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,53,186.2079,188.8853,45.6110,137.9923
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,54,184.3525,143.0018,42.5115,76.1837
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,55,200.6498,126.2082,78.9067,206.7487
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,56,209.0925,187.2158,48.3318,106.9683
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,57,197.7163,200.4489,55.7395,154.3192
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,58,193.7641,153.6054,72.4651,178.7541
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,59,187.7728,155.7804,46.2709,64.9299
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,60,180.0148,155.0339,38.5856,50.7726
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,61,176.2881,145.4199,30.5738,53.4978
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,62,177.0229,131.7560,35.6064,66.9225
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,63,195.2041,152.7938,36.9360,108.8010
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,64,182.9600,150.1351,47.0994,87.6260
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,65,179.2597,156.1955,35.2363,64.6247
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,66,179.6254,148.5378,42.6480,70.8322
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,67,190.0450,156.6070,46.0156,122.4469
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,68,192.7407,141.4166,50.2440,76.6771
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,69,171.0463,147.6329,29.6856,70.6248
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,70,204.8593,166.9097,44.7187,74.6985
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,71,195.5279,209.6214,75.6235,159.8421
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,72,184.4199,118.6153,44.7340,153.7808
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,73,194.4765,195.4810,52.8650,139.0612
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,74,220.8289,161.8282,84.0632,219.4794
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,75,197.2662,188.7900,74.2960,131.6610
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,76,178.5191,160.4319,41.0785,103.3531
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,77,188.2257,156.6852,44.5400,98.2006
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,78,212.1366,222.1941,91.6700,269.9550
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,79,210.3509,181.7783,59.1725,142.5085
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,80,185.0604,172.2269,49.6762,101.4302
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,81,181.7226,165.3060,38.7276,91.5804
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,82,184.1094,148.2067,58.9624,129.8694
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,83,205.2248,178.7973,68.5594,109.0910
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,84,181.5648,157.0912,35.9840,92.6704
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,85,205.0476,265.3515,63.2913,308.7695
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,86,193.9001,144.1075,36.0960,51.8184
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,87,185.1641,144.1147,54.0850,109.0103
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,88,188.2262,167.4696,71.3128,153.2598
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,89,193.5596,155.6792,37.0191,102.9565
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,90,175.8493,126.7360,33.9941,95.5585
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,91,195.4334,132.6274,76.2186,218.5550
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,92,184.4692,153.9163,29.4764,61.7730
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,93,270.6229,885.8552,132.1554,433.0907
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,94,204.3016,204.0267,73.6896,165.8855
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,95,190.5041,168.0370,64.0712,99.0308
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,96,184.2092,201.5101,45.4694,135.0096
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,97,195.3194,148.3927,47.6368,90.6594
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,98,197.3947,146.4697,40.1280,91.7785
baseline,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,99,225.8287,178.3287,97.9656,265.4731
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,0,49.3628,132.6542,40.2119,62.4036
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,1,55.0948,118.5084,68.4894,84.5013
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,2,45.0780,157.2337,31.0610,77.3469
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,3,49.5175,135.4811,40.8619,73.8281
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,4,48.0104,136.9422,42.5866,71.1645
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,5,54.9754,163.0115,46.8371,79.9203
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,6,67.1598,140.8832,65.9226,129.7971
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,7,42.4935,115.6597,31.2304,63.8420
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,8,41.6962,160.3637,33.5331,58.6628
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,9,51.9461,131.9819,45.4012,88.4079
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,10,50.9323,130.7651,49.5047,76.7390
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,11,51.3153,176.7755,45.0785,98.8339
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,12,51.0458,135.6126,34.9692,59.1341
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,13,53.5623,132.6831,49.4660,79.8563
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,14,56.3198,163.3264,50.5275,63.9621
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,15,45.6175,135.3231,34.1557,48.7549
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,16,53.1454,165.1311,40.5019,56.8745
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,17,48.1448,117.6000,40.8756,95.5376
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,18,47.4928,158.9961,37.5543,94.4231
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,19,51.3463,120.7152,43.1042,83.2250
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,20,49.4304,157.5506,39.7098,80.4559
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,21,42.5303,141.1711,35.1513,53.7966
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,22,56.3313,175.9417,44.6355,76.1961
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,23,57.1883,149.3662,63.5340,94.4759
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,24,35.7776,117.7165,27.8849,44.3992
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,25,48.1281,130.1860,38.5251,58.2647
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,26,42.9067,137.7148,40.3605,69.5224
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,27,58.9578,147.9313,50.7554,84.8897
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,28,42.4423,128.5145,26.4598,55.4424
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,29,59.4005,158.3344,49.7602,84.6750
baseline,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,30,45.9413,134.6345,29.9255,66.6558
