label,rdkit_version,mol_idx,smiles,conf_idx,conf_id,MMFF_energy,MMFF_max_force,UFF_energy,UFF_max_force
fixed,2026.09.1pre,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,0,0,186.9932,163.0627,54.6871,94.7157
fixed,2026.09.1pre,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,1,1,182.5542,153.7371,32.4925,80.9217
fixed,2026.09.1pre,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,2,2,185.3995,167.3852,49.1397,96.1313
fixed,2026.09.1pre,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,3,3,190.4794,144.8157,45.8944,65.5196
fixed,2026.09.1pre,0,CC(C)CC(NC(C1[N+]CCC1)=O)C([O-])=O,4,4,179.1052,145.9535,32.3184,67.7475
fixed,2026.09.1pre,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,0,0,57.5215,150.5334,60.2022,84.7834
fixed,2026.09.1pre,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,1,1,54.5180,129.1454,53.8179,90.2868
fixed,2026.09.1pre,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,2,2,49.2069,137.7425,42.2402,65.7528
fixed,2026.09.1pre,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,3,3,46.2864,129.9150,50.1368,109.1417
fixed,2026.09.1pre,1,CC(NC(CO)C(O)c1ccc([N+]([O-])=O)cc1)=O,4,4,51.6181,154.4106,44.5613,119.0812
fixed,2026.09.1pre,2,CC([N+])C(NC(C)C(N1C(C=O)CCC1)=O)=O,0,0,78.5293,70.0819,48.6506,108.8729
fixed,2026.09.1pre,2,CC([N+])C(NC(C)C(N1C(C=O)CCC1)=O)=O,1,1,73.4809,103.6735,55.5833,63.9426
fixed,2026.09.1pre,2,CC([N+])C(NC(C)C(N1C(C=O)CCC1)=O)=O,2,2,65.8453,75.2475,32.9161,42.6217
fixed,2026.09.1pre,2,CC([N+])C(NC(C)C(N1C(C=O)CCC1)=O)=O,3,3,84.8583,72.4073,77.5092,127.5394
fixed,2026.09.1pre,2,CC([N+])C(NC(C)C(N1C(C=O)CCC1)=O)=O,4,4,63.4087,79.6670,47.3239,60.6591
fixed,2026.09.1pre,2,CC([N+])C(NC(C)C(N1C(C=O)CCC1)=O)=O,5,5,78.2503,78.4068,64.8480,108.1801
fixed,2026.09.1pre,2,CC([N+])C(NC(C)C(N1C(C=O)CCC1)=O)=O,6,6,86.1396,100.5459,71.1720,93.4587
fixed,2026.09.1pre,2,CC([N+])C(NC(C)C(N1C(C=O)CCC1)=O)=O,7,7,69.6990,108.2003,40.4155,64.6285
fixed,2026.09.1pre,3,CC(NC1C(O)C=C(C([O-])=O)OC1C(O)C(O)CO)=O,0,0,88.6466,147.9404,48.4255,64.7637
fixed,2026.09.1pre,3,CC(NC1C(O)C=C(C([O-])=O)OC1C(O)C(O)CO)=O,1,1,101.5079,159.2944,63.6544,98.4622
fixed,2026.09.1pre,3,CC(NC1C(O)C=C(C([O-])=O)OC1C(O)C(O)CO)=O,2,2,104.6986,181.7636,59.9642,119.4672
fixed,2026.09.1pre,3,CC(NC1C(O)C=C(C([O-])=O)OC1C(O)C(O)CO)=O,3,3,84.6769,176.9035,50.4394,74.4702
fixed,2026.09.1pre,3,CC(NC1C(O)C=C(C([O-])=O)OC1C(O)C(O)CO)=O,4,4,91.3223,165.4986,39.1606,42.1875
fixed,2026.09.1pre,3,CC(NC1C(O)C=C(C([O-])=O)OC1C(O)C(O)CO)=O,5,5,91.0669,145.3016,54.0038,85.2903
fixed,2026.09.1pre,4,CCCC=C(NC(C1CC1(C)C)=O)C([O-])=O,0,0,102.5524,198.6464,350.7847,188.2487
fixed,2026.09.1pre,4,CCCC=C(NC(C1CC1(C)C)=O)C([O-])=O,1,1,76.3503,141.5321,302.5773,70.4662
fixed,2026.09.1pre,4,CCCC=C(NC(C1CC1(C)C)=O)C([O-])=O,2,2,82.0477,158.1343,310.1047,103.9615
fixed,2026.09.1pre,4,CCCC=C(NC(C1CC1(C)C)=O)C([O-])=O,3,3,87.4155,188.8227,309.8615,86.7657
fixed,2026.09.1pre,4,CCCC=C(NC(C1CC1(C)C)=O)C([O-])=O,4,4,81.9918,173.5285,311.9344,80.1448
fixed,2026.09.1pre,4,CCCC=C(NC(C1CC1(C)C)=O)C([O-])=O,5,5,83.1042,167.1251,300.2844,57.2834
fixed,2026.09.1pre,4,CCCC=C(NC(C1CC1(C)C)=O)C([O-])=O,6,6,75.2814,142.2574,295.2452,65.4503
fixed,2026.09.1pre,4,CCCC=C(NC(C1CC1(C)C)=O)C([O-])=O,7,7,99.3947,214.6238,325.7674,158.5975
fixed,2026.09.1pre,5,OCC(O)C(O)C(Cn1c2c(cc(C)c(C)c2)nc-2c(=O)[nH]c(=O)nc12)O,0,0,89.4437,152.1106,98.3228,151.1833
fixed,2026.09.1pre,5,OCC(O)C(O)C(Cn1c2c(cc(C)c(C)c2)nc-2c(=O)[nH]c(=O)nc12)O,1,1,84.8909,151.0255,80.4519,137.7917
fixed,2026.09.1pre,5,OCC(O)C(O)C(Cn1c2c(cc(C)c(C)c2)nc-2c(=O)[nH]c(=O)nc12)O,2,2,81.5001,169.9813,86.3189,220.6377
