pair_id,pair_source,family,method,label,highlighted,query_name,target_name,query_smiles,target_smiles,query_atoms,target_atoms,total_atoms,smaller_atoms,larger_atoms,combined_atoms,atom_delta,query_bonds,target_bonds,query_rings,target_rings,status,elapsed_s,repeats,seconds_per_call,ns_per_call,substruct_op,substruct_match,substruct_match_count,mcs_atoms,mcs_bonds,mcs_canceled,mcs_smarts,notes,error
p0000,size-combinations,mcs,mcs_any_atom_bond,MCS CompareAny atoms/bonds,0,799568,874233,O,C/C=C(/C)C(=O)OC[C@H]1C2=C(C[C@H]3[C@H]4C5=C(C(=O)C(C)=C(OC)C5=O)[C@H](O[C@H]5CC[C@@]6(C)C(=CC[C@H]7C8C[C@H]([C@H](C)CCCC(C)C)C[C@@]8(C)CC[C@@H]76)C5)[C@@H]([C@H](C#N)N13)N4C)C(=O)C(C)=C(OC)C2=O,1,70,71,1,70,71,69,0,78,0,9,ok,0.000122012,1,0.000122012,122012.000,,,,1,0,0,[#8],Permissive MCS: any atom type and any bond type can match.,
p0000,size-combinations,mcs,mcs_elements_order,MCS elements/order,1,799568,874233,O,C/C=C(/C)C(=O)OC[C@H]1C2=C(C[C@H]3[C@H]4C5=C(C(=O)C(C)=C(OC)C5=O)[C@H](O[C@H]5CC[C@@]6(C)C(=CC[C@H]7C8C[C@H]([C@H](C)CCCC(C)C)C[C@@]8(C)CC[C@@H]76)C5)[C@@H]([C@H](C#N)N13)N4C)C(=O)C(C)=C(OC)C2=O,1,70,71,1,70,71,69,0,78,0,9,ok,3.909e-05,1,3.909e-05,39090.000,,,,1,0,0,[#8],Closest MCS counterpart to a raw SMILES substructure query.,
p0000,size-combinations,mcs,mcs_elements_order_maximize_atoms,MCS elements/order maximize atoms,0,799568,874233,O,C/C=C(/C)C(=O)OC[C@H]1C2=C(C[C@H]3[C@H]4C5=C(C(=O)C(C)=C(OC)C5=O)[C@H](O[C@H]5CC[C@@]6(C)C(=CC[C@H]7C8C[C@H]([C@H](C)CCCC(C)C)C[C@@]8(C)CC[C@@H]76)C5)[C@@H]([C@H](C#N)N13)N4C)C(=O)C(C)=C(OC)C2=O,1,70,71,1,70,71,69,0,78,0,9,ok,2.9008e-05,1,2.9008e-05,29008.000,,,,1,0,0,[#8],"Same element/order comparison, but optimize atom count instead of bond count.",
p0000,size-combinations,mcs,mcs_elements_order_ring_atoms,MCS elements/order ring atoms,0,799568,874233,O,C/C=C(/C)C(=O)OC[C@H]1C2=C(C[C@H]3[C@H]4C5=C(C(=O)C(C)=C(OC)C5=O)[C@H](O[C@H]5CC[C@@]6(C)C(=CC[C@H]7C8C[C@H]([C@H](C)CCCC(C)C)C[C@@]8(C)CC[C@@H]76)C5)[C@@H]([C@H](C#N)N13)N4C)C(=O)C(C)=C(OC)C2=O,1,70,71,1,70,71,69,0,78,0,9,ok,3.1896e-05,1,3.1896e-05,31896.000,,,,1,0,0,[#8&!R],Ring atoms and ring bonds only match ring atoms and ring bonds.,
p0000,size-combinations,mcs,mcs_elements_order_whole_rings,MCS elements/order whole rings,0,799568,874233,O,C/C=C(/C)C(=O)OC[C@H]1C2=C(C[C@H]3[C@H]4C5=C(C(=O)C(C)=C(OC)C5=O)[C@H](O[C@H]5CC[C@@]6(C)C(=CC[C@H]7C8C[C@H]([C@H](C)CCCC(C)C)C[C@@]8(C)CC[C@@H]76)C5)[C@@H]([C@H](C#N)N13)N4C)C(=O)C(C)=C(OC)C2=O,1,70,71,1,70,71,69,0,78,0,9,ok,2.5785e-05,1,2.5785e-05,25785.000,,,,1,0,0,[#8],MCS completeRingsOnly=True; partial ring MCS results are rejected.,
p0000,size-combinations,mcs,mcs_elements_order_ring_atoms_whole_rings,MCS elements/order ring atoms + whole rings,0,799568,874233,O,C/C=C(/C)C(=O)OC[C@H]1C2=C(C[C@H]3[C@H]4C5=C(C(=O)C(C)=C(OC)C5=O)[C@H](O[C@H]5CC[C@@]6(C)C(=CC[C@H]7C8C[C@H]([C@H](C)CCCC(C)C)C[C@@]8(C)CC[C@@H]76)C5)[C@@H]([C@H](C#N)N13)N4C)C(=O)C(C)=C(OC)C2=O,1,70,71,1,70,71,69,0,78,0,9,ok,2.6198e-05,1,2.6198e-05,26198.000,,,,1,0,0,[#8&!R],Both ringMatchesRingOnly and completeRingsOnly are enabled.,
p0000,size-combinations,substruct,substruct_smiles,Substruct raw SMILES,1,799568,874233,O,C/C=C(/C)C(=O)OC[C@H]1C2=C(C[C@H]3[C@H]4C5=C(C(=O)C(C)=C(OC)C5=O)[C@H](O[C@H]5CC[C@@]6(C)C(=CC[C@H]7C8C[C@H]([C@H](C)CCCC(C)C)C[C@@]8(C)CC[C@@H]76)C5)[C@@H]([C@H](C#N)N13)N4C)C(=O)C(C)=C(OC)C2=O,1,70,71,1,70,71,69,0,78,0,9,ok,0.000113726,20,5.6863e-06,5686.300,has-match,1,1,,,,,Best SMILES-substructure baseline. Substructure has no direct completeRingsOnly option.,
p0000,size-combinations,substruct,substruct_elements_any_bond,Substruct elements/any bond,0,799568,874233,O,C/C=C(/C)C(=O)OC[C@H]1C2=C(C[C@H]3[C@H]4C5=C(C(=O)C(C)=C(OC)C5=O)[C@H](O[C@H]5CC[C@@]6(C)C(=CC[C@H]7C8C[C@H]([C@H](C)CCCC(C)C)C[C@@]8(C)CC[C@@H]76)C5)[C@@H]([C@H](C#N)N13)N4C)C(=O)C(C)=C(OC)C2=O,1,70,71,1,70,71,69,0,78,0,9,ok,8.3404e-05,20,4.1702e-06,4170.200,has-match,1,1,,,,,Query keeps atom elements but uses generic bonds.,
p0000,size-combinations,substruct,substruct_any_atom_bond,Substruct any atoms/bonds,0,799568,874233,O,C/C=C(/C)C(=O)OC[C@H]1C2=C(C[C@H]3[C@H]4C5=C(C(=O)C(C)=C(OC)C5=O)[C@H](O[C@H]5CC[C@@]6(C)C(=CC[C@H]7C8C[C@H]([C@H](C)CCCC(C)C)C[C@@]8(C)CC[C@@H]76)C5)[C@@H]([C@H](C#N)N13)N4C)C(=O)C(C)=C(OC)C2=O,1,70,71,1,70,71,69,0,78,0,9,ok,0.000323437,20,1.617185e-05,16171.850,has-match,1,1,,,,,"Query uses generic atoms and generic bonds, similar to CompareAny topology.",
p0000,size-combinations,substruct,substruct_ring_atoms,Substruct ring-chain atoms,0,799568,874233,O,C/C=C(/C)C(=O)OC[C@H]1C2=C(C[C@H]3[C@H]4C5=C(C(=O)C(C)=C(OC)C5=O)[C@H](O[C@H]5CC[C@@]6(C)C(=CC[C@H]7C8C[C@H]([C@H](C)CCCC(C)C)C[C@@]8(C)CC[C@@H]76)C5)[C@@H]([C@H](C#N)N13)N4C)C(=O)C(C)=C(OC)C2=O,1,70,71,1,70,71,69,0,78,0,9,ok,6.0777e-05,20,3.03885e-06,3038.850,has-match,1,1,,,,,Query adds ring/chain atom constraints; closest substruct analog to ringMatchesRingOnly.,
p0001,size-combinations,mcs,mcs_any_atom_bond,MCS CompareAny atoms/bonds,0,278567,1834309,C[N+](=O)[O-],C[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]([C@@H](C)O)NC1=O,4,55,59,4,55,59,51,3,60,0,6,ok,8.6088e-05,1,8.6088e-05,86088.000,,,,4,3,0,"[#6]-[#7,#6](=,-[#8,#7])-[#8,#6]",Permissive MCS: any atom type and any bond type can match.,
p0001,size-combinations,mcs,mcs_elements_order,MCS elements/order,1,278567,1834309,C[N+](=O)[O-],C[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]([C@@H](C)O)NC1=O,4,55,59,4,55,59,51,3,60,0,6,ok,4.903e-05,1,4.903e-05,49030.000,,,,2,1,0,[#6]-[#7],Closest MCS counterpart to a raw SMILES substructure query.,
p0001,size-combinations,mcs,mcs_elements_order_maximize_atoms,MCS elements/order maximize atoms,0,278567,1834309,C[N+](=O)[O-],C[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]([C@@H](C)O)NC1=O,4,55,59,4,55,59,51,3,60,0,6,ok,3.725e-05,1,3.725e-05,37250.000,,,,2,1,0,[#6]-[#7],"Same element/order comparison, but optimize atom count instead of bond count.",
p0001,size-combinations,mcs,mcs_elements_order_ring_atoms,MCS elements/order ring atoms,0,278567,1834309,C[N+](=O)[O-],C[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]([C@@H](C)O)NC1=O,4,55,59,4,55,59,51,3,60,0,6,ok,4.1889e-05,1,4.1889e-05,41889.000,,,,1,0,0,[#8&!R],Ring atoms and ring bonds only match ring atoms and ring bonds.,
